Palavra,Eshemplos,Espanyol,English,Turkish,Origen,id,Portuguese,French
"aumár, afumár (v)",Merkaron peshkados afumados.,ahumar,"smoke, cure","tütsülemek, dumana tutmak (et, balık v.s.)",Aki Yerushalayim,2878,,
magazén (m),Los Djidios teniyan Magazenes de Manifatura [vender ropas]. ,almacén,"shop, store",mağaza,Jeneral,2879,,
"atagantár, atagentár (v)",,"molestar, fastidiar","annoy, bore",can sıkmak,Jeneral,2880,,
indiána (f),"Mizmo en Rodes diziyamos ""indiana"" por el inglez (turkey).",pavo,turkey,hindi,Jeneral,2886,,
reványo (m),Dava a komer a un revanyo de palomas.,rebaño,"flock, herd",sürü,Torah/Tanah,2882,,
koyadúra (f),La koyadura era un poko mas grande de la sardela i de karne muy blanda.,anchoa salada,salted anchovy (colatura),tuzlanmış hamsi,Estanbol,2883,,anchois salés
ladrón / ladróna (m/f),No kero ke se los roven los ladrones.,ladrón / ladrona,thief,hırsız,Jeneral,2885,,
indiáno (m),"En New York--diziyamos ""indiano"" para ""turkey"" tambien, komo en la kaza de Matilda...",pavo,turkey,hindi,Izmir,2887,,
páto (m),"...gaynas, 1300 patos, 50 pyernas de puerko, 17 kintales de karne, 700...
""GATO"" por ""PATO"".","ganso, oca",goose,kaz,Jeneral,2888,,
paláza (f),"""Duck - Canard"" es PALAZA en Estanbol (Perahya).",pato,duck,ördek,Estanbol,2889,,
patóna (f),"En Izmir ""patona"" es ""duck"" (Los diksionaryos no lo tienen!)
",pato,duck,ördek,Izmir,2890,,
revolvér (m),Metiya el revolver al lado de la kavesa.,revólver,revolver,tabanca,Jeneral,2891,,
plómo (m),Se derrite el plomo una otra vez i se mete enbasho entre los pies.,plomo,lead,kurşun,Jeneral,2892,,
buzaná (f),"En izmir, kuando keremos dizir ke una koza o el tiempo esta muy yelado, dizimos ""esta buzaná""! ","nevera, lugar frío","ice-box, very cold place","buz kutusu, çok soğuk yer",Izmir,2895,,
frijidér (m),Lo metiya en un bokal i lo metiya en el frijider.,"nevera, refrigerador",refrigerator,boz dolabı,Estanbol,2896,,
"bahshísh, bakshísh (m)","Un ""bahshish"" bueno al garson ya abastava para esto.",propina,"tip, gratuity",bahşiş,Jeneral,2897,,
"baragán, barragán (m)","Shimshón, personaje bibliko, fue un famozo barragan.","valiente, animoso, robusto","brave, robust","yiğit, güçlü",Jeneral,2898,"forte, robusto, valente","fort, robuste, vaillant"
bayát (adj.),"Kon pan bayat se aze ""Revanadas de Parida"".","rancio, pasado, duro (pan)","stale, old, rancid",bayat,Estanbol,2900,,
"bilbíl, bulbúl (m)","""Los bilbilikos kantan...""",ruiseñor,nightingale,bülbül,Estanbol,2901,,
boy (m),"Lo ke no tiene de boy, tiene de negregura. (Neh.)","tamaño, talla, dimensiones","size, heght, dimensions",boy,Estanbol,2902,,
buchúk (m),Mos nasieron buchukes.,gemelo,twin,ikiz,Estanbol,2903,,
blankúcho (m),"""BLANKUCHO"" era akeya kreatura/persona
ke nasiya kon los kaveyos i los
parparos blankos.
",albino,albino,albinos,Jeneral,2904,,
negregúra (f),Para su negregura no ay par.,maldad,"evil, badness",kötülük,Jeneral,2905,,
sirá (f),"Todos kon sira (a su torno), chikos i grandes.","fila, rango, momento oportuno","row, rank, opportune moment",sıra,Estanbol,2906,,
úmido (adj.),El lavado kedó úmido.,húmedo,"damp, humid","nemli, rutubetli",Jeneral,2907,,
galécha (f),Yevavamos galechas en el banyo.,zueca,clog,"nalın, takunya",Jeneral,2908,,
"pantófla, pantúfla (f)","Kon ""la robe de chambre"" ekose i las pantuflas en el pie...",zapatilla,slipper,terlik,Estanbol,2909,,
charúka (f),En sus pyes no yevavan ke un par de charukas.,"zapatilla, babucha","slipper, mule","terlik, çarık",Estanbol,2910,,
"desbafár, esbafár (v)",No tengo kon ken desbafar.,desahogarse,relieve oneself,içini dökmek,Jeneral,2911,,
"diezén, dyezén (adj.)",El Dyezen Kongreso de Estudios Djudeo-espanyoles...,décimo,tenth,onuncu,Jeneral,2912,,
abediguár (v),"Abediguar famiyas, hazinos, guérfanos i bivdas.","ayudar, socorrer, asistir","help, assist",yardım etmek,Jeneral,2913,"ajudar, assistir","aider, secourrir, assister"
desmodrádo (adj.),El yevava un vestido desmodrado.,incongruente,incongruous,rabıtasız,Jeneral,2914,,
"ermuéra, nuéra (f)",Bushkava a ovedeser todo lo ke la ermuera le ordenava.,nuera,daughter-in-law,gelin (oğlun karısı),Jeneral,2915,,
enshaguár (v),Enshaguate la boka!,"enjuagar, lavar","rinse, wash","çalkalamak, yıkamak",Jeneral,2916,,
"emprimár, imprimár (v)",El tiene un livro de ley ke fue imprimado en Izmir .,imprimir,print,basmak,Izmir,2917,,
emprimadór (m),Ivan Fidorof fue el primer emprimador.,imprimidor,printer,matbaacı,Izmir,2918,,
seleksión (f),"Eskapi la seleksion de tekstos para mi ""Introduksion a la lingua"".",selección,selection,"seçim, seçme",Jeneral,2919,,
ekstendér (v),Es una famiya ekstendida de todos los Sefaradim del mundo.,extender,extend,"uzamak, uzatmak",Jeneral,2920,,
"siníza, seníza (f)","Mi amor oy, es una braza i no siniza.",ceniza,ash,kül,Jeneral,2921,,
sentéya (f),"Onde kaye la senteya, es ojo de la syega. (Neh.)",chispa,spark,kıvılcım,Jeneral,2922,,
bráza (f),Mos esta kemando komo braza.,brasa,live charcoal,kor,Jeneral,2923,,
déyo / déya (m/f),Dizen ke se deve tener siempre dos deyos en la meza.,"de ello, de ella",piece (kuantos deyos? = how many?),tane,Jeneral,2924,,
sólu (adj.),"La hakitiya es solu una otra variedad del
djudio-espanyol.",solo,only,sadece,Sarayevo,2926,,
dóbro / dóbra (adj.),Eya es una mujer dobra.,"bien, bueno","good, nice",iyi,Balkanes,2927,,
por módo de (m),Te troki siertas palavras por modo de la ortografiya ke se uza en LK.,"a causa de, por causa de",because of,bundan ötürü,Jeneral,2929,,
"Por módo de, por mor de (m)",Teniyan kaminos para ir por mor de salvarsen de la persekusion.,"para, para que",in order to,"için, diye",Izmir,2930,,
mungrinéar (v),,gimotear,whine,sızlanmak,Jeneral,2931,,
duréra (f),"Mal por durera, peor por shushunera. (Prov.) (Neh.)",estreñimiento,constipation,kabızlık,Jeneral,2932,,
desén (m),"Vos rogo de no meter ni aneksos, ni desenes en los mesajes.","diseño, dibujo",design,desen,Jeneral,2933,,dessin
manár (v),De esta tyerra manan leche i myel.,manar,"flow, fig. abound",fışkırmak,Jeneral,2934,,
kamizíya (f),,hucha,piggy bank,kumbara,Izmir,2935,,tirelire
selví (m),Oy mis padres sembraron un selví en el kampo para fyestar Tu-Bishvat.,ciprés,cypress,"selvi, servi",Jeneral,2936,,cyprès
shakéka (f),"Para kurar dolor de shakeka , se metiyan una rida apretada en la frente.",jaqueca,headache,baş ağrısı,Jeneral,2937,enxaqueca,mal de tête
"syén, sién (f)",,sien,temple,şakak,Jeneral,2938,témpora,tempe
lóko / lóka (adj.),"Mas save un loko en su kaza, ke un savyo en kaza de otro.",loco / loca,mad,deli,Jeneral,2939,,fou / folle
lokúra (f),Todos tenemos muestras pasiones i lokuras.,locura,madness,delilik,Jeneral,2940,,folie
timaraná (f),Este lugar parese una timarana.,manicomio,"madhouse, mental hospital",tımarhane,Jeneral,2941,hospício,asile d'aliénés
dondurmá (f),Mos keriya enkomendar una dondurma (yelada) famoza de Cesme .,helado,ice cream,dordurma,Jeneral,2942,,crème glacée
"ograsheár, ugrasheár (v)","Ugrashear kon la djente no es ""kolay""( fasil).",esforzarse,"strive, struggle hard",uğraşmak,Estanbol,2943,,s'efforcer
kurdeár (v),Teniyamos oras ke se deviyan kurdear una vez al diya.,regular (reloj etc.),set (clock etc.),kurmak,Estanbol,2944,,remonter (montre etc.)
mishpahá (f),Shalom a toda la mishpaha sefaradi i al mundo entero.,"clan, familia","clan, family",sülale,Jeneral,2945,,"clan, famille"
fásha (f),"De la fasha asta la mortaja, no te vas a azer benadam!","faja, pañal","nappy, diaper",kundak bezi,Jeneral,2946,,"couche, lange, layette"
mortája (f),Ma botones no ay en mortaja!,mortaja,shroud,kefen,Jeneral,2947,,linceul
fashadúra (f),"En la kortadura de la fashadura, se echava bombones blankos. ","faja, ajuar del recien nacido",baby clothes,kundak takımı,Jeneral,2948,,layette
fidél (adj.),Kero ser fidel a la lingua ke me ambezi de kriatura.,fiel,"faithful, loyal",sadık,Jeneral,2949,,fidel
fíno (kolokyal) (prep.),Me asenti para meldarlo del empesijo fino la fin.,hasta,"till, until, up to","kadar, dek",Ladinokomunita,2950,,jusque
furtúna (f),Ay furtuna en la mar.,"tormenta, tempesta",storm,fırtına,Estanbol,2951,,"orage, tempête"
frágua (f),La fragua mueva es komo un otel.,construcción,"building, construction","bina, inşaat",Jeneral,2952,,"bâtisse, bàtiment"
fruchiguár (v),Fruchiguaremos en la tierra.,"fructificar, multiplicarse","produce, multiply","üremek, çoğalmak",Jeneral,2953,,"fructifier, se multiplier"
kuréar (v),Era un poko simple i los amigos lo kureavan.,regular; engañar,set; cheat,kurmak; aldatmak,Jeneral,2954,,remonter; tromper
torsér (v),"Tu dishites ""tuertio"", mozotros dizimos ""torsyo"".",retorcer,"distort, twist",burkmak,Jeneral,2955,,"tordre, fouler"
embreneár (v),"Atyo, esto esta de embrenear!","placer, encantar","delight, charm",sevindirmek,Jeneral,2956,,"réjouir, charmer"
embreneárse (v),Vijitimos una guerta yena de flores i mos se embreneó la alma.,"tener gusto, estar encantado",be delighted,sevinmek,Jeneral,2957,,être ravi
"lándra, lándre (f)","LA ESTREYA KE LE KAYGA, LANDRE KE LE DE! ",peste,plague,veba,Jeneral,2958,"praga, peste",peste
mursá (f),"Uno ke tyene kara de ""mursa"" i la djente no se azen amigos kon el .","mohino, enfurruñado","unlovable, sulky","sevimsiz, somurtkan",Jeneral,2959,,boudeur
"bruído, ruído (m)",Baraná: Yo lo oyi empleado komo sinonimo de bruido.,ruido,noise,gürültü,Jeneral,2960,,bruit
pazí (m),"Kalavasa, pishkado, agranada, pazi, etc.",acelga,chard,pazi,Estanbol,2961,,
"desizión, desizyón (f)","Esperamos ke vash a respektar muestra desizyon, i deshar la lengua de LK asigun esta.",decisión,decision,karar,Ladinokomunita,2962,,décision
vizíno / vizína (m/f),Se ambezo un poko de grego kon los vizinos de arriva.,vecino / vecina,neighbour,komşu,Jeneral,2963,vizinho / vizinha,voisin / voisine
"váye (m), valéy (f)","VAYE o VALEY es 1.  Espasyo yano ENTRE DOS MONTES o ALTURAS, 2. El ""basino"" ande korre un rio.",valle,valley,vadi,Jeneral,2964,vale,vallée
"valéy (f), váye (m)","...Esta en la VALEY de los ijos de Hinom,... (Reyes B' 23,10).",valle,valley,vadi,Jeneral,2965,vale,vallée
físta (konj.),Ya lo saven fista las pyedras de la kaye.,hasta,"till, until, up till","kadar, dek",Salonik,2966,,jusqu'à ce que
aránya (f),Le entró una aranya al meoyo.,araña,spider,örümcek,Salonik,2967,,araignée
arár (v),,arar,plough,toprağı sürmek,Jeneral,2968,,labourer
guérko (m),"""Ande se arrapa el guerko"" es un lugar muy leshos.","satán, diablo","Satan, devil",şeytan,Jeneral,2969,"Satã, Satanás","satan, diable"
kampána (f),"A las ocho de la demanyana, la kampana de la eglisya sona.",campana,bell,"çan, kampana",Jeneral,2970,campana,cloche
shofár (m),Sintimos al shofar kon respekto i kon grande amor.,cuerno de carnero usado como instrumento musical tradicional judio.,ram horn used as Jewish traditional musical instrument.,bazı Musevi ayinlerinde müzik için kullanılan koç boynuzu.,Jeneral,2971,chifre de carneiro usado como instrumento musical tradisional judeu.,corne de bélier usé comme instrument musical traditionnel.
muéz (f),"Mesklar la matsa, la asukar i la muez.",nuez,walnut,ceviz,Jeneral,2972,noz,noix
yanúra (f),"Kampo o terreno yano, sin alto ni basho i sin arvoles.",llanura,plain,"ova, yazı",Jeneral,2973,planície,plaine
"nuáns, nuánsa (f)","La lingua muestra tiene munchas enteresantes nuanses, ke vale la pena de estudiar.",matiz,"nuance, minute difference","ayırtı, nüans, ince fark",Jeneral,2974,nuance,nuance
yáno / yána (adj.),No tenemos supa. Mete los platos yanos.,"llano / llana, plano / plana","flat, level","düz, yassı",Jeneral,2975,plano,"plat, uni, plane"
endagóra (adv.),Endagora abolti de Quiberon ande pasi unos 10 diyas .,"ahora mismo, ahorita","just now, a bit ago",demin,Jeneral,2976,agora mesmo,"tout à  l'heure, à l'instant"
kácha (f),La kacha del livro es un blu vibrante.,"portado (de periódico), tapa (de libro)","cover (of book, etc.)","kapak (kitap, v.s.), kın, kılıf",Jeneral,2977,capa,"couverture (de livre, jacquette etc.) étui"
karnéro (m),De un karnero no se kita dos kueros. (Neh.),carnero,"ram, sheep","koç, koyun",Jeneral,2978,carneiro,"bélier, mouton"
prostéla (f),La vistio i le metio prostela.,delantal,apron,önlük,Estanbol,2979, avental,tablier
delantál (m),Mama i delantal ke tapan muncho mal.,delantal,apron,önlük,Jeneral,2980, avental,tablier
akumplído / akumplída (adj.),Mario Levi es un otor muy akumplido.,"dotado / dotada, hábil","gifted, accomplished","hünerli, becerikli",Jeneral,2981,dotado,accompli / accomplie
bazár (m),"El martes, era diya de bazar en Milas.","bazar, mercado oriental","bazaar, market, souk","pazar, çarşı",Jeneral,2982,"feira, mercado","bazar, marché, souk"
bálsa (f),Uvo muncha luvya: La kaye esta yena de balsas de agua.,charco,puddle,su birikintisi,Jeneral,2983,,flaque
kompajinasyón (f),Eskapimos la kompajinasyon del suplemento de la gazeta.,"compaginación, maquetación","lay out, format","dizgi, tertip, sahifelendirme",Jeneral,2984,compaginação,mise-en-page
"givír, gevír (m)",Vido a la ija del gevir i se namoro de eya. ,"señor, amo","lord, master",ağa,Jeneral,2985,rico-homem,"personne riche, notable"
agá (m),El aga le demando  ke echo aze.,"señor, amo","lord, master",ağa,Jeneral,2986,patrão,personne riche et notable
varón (m),Donde vas ijo varon? A meldar la ley del Dio.,"varón, hombre","man, adult male","adam, erkek",Jeneral,2987,varão,"homme, homme adulte"
chobán (m),Este choban giyava mas de dozyentos karneros.,"pastor, varón de ganado",shepherd,çoban,Jeneral,2988,pastor,berger
bokál (m),Se podia meter esta alzeyte en un bokal (una redoma) para transportarla a la keyla.,botella,bottle,şişe,Jeneral,2989,,bouteille
"bógo, bogchá (m/f)","El bogo era para meter la ropa limpia para ir al ""hamam"".",lío,bundle,bohça,Jeneral,2990,trouxa,balluchon
menk (m),Shelomo dyo el menk en pokas palavras kual es el rolo tan importante de la madre. ,piedra de toque,touchstone,mihenk taşı,Salonik,2992,pedra-de-toque,pierre de touche
revizár (v),No  es kolay revizar tekstos en haketiya.,revisar,"revise, review",tekrar tetkik etmek,Jeneral,2991,rever,réviser
"djárro (m), djárra (f)",Trusho un djarro de agua.,"jarro, jarra",jug,"maşrapa, bakraç",Jeneral,2993,jarro,"jarre, broc"
destakaménto (m),El Governo Otomano mando un destakamento (müfreze) de soldados para onorar la seremonia.,destacamento,detachment,müfreze,Jeneral,2994,destacamento,détachement
destakár (v),,destacar,"detach, detail",ifraz etmek,Jeneral,2995,,détacher (mil.)
fíjo / fija (m/f),"Si no fago lo ke estó diziendo, no so fijo de mi padre (Neh.)",hijo / hija,"boy, son / girl, daughter","oğul, kız",Salonik,2996,,fils / fille
desmazaládo / desmazaláda (adj.),Desmazalado de mi!,desdichado / desdichada,"misfortunate, unlucky","kısmetsiz, talihsiz",Jeneral,2997,desafortunado / desafortunada,"malchanceux, accablé par le sort"
hádras (f/pl),"Kualo son estas hadras, ke se kreye fulanika...","modales pretenciosas, amaneramiento","pretentious, affected manners,","debdebe, gösteriş, yapmacık hal, çalım",Jeneral,2998,maneirismo,"manières prétentieuses, mièvreries"
hadrózo / hadróza (adj.),No le plazyo akeya ijika  porke era muy hadroza.,"amanerado, pretencioso","affected, pretentious","numaracı, gösterişçi",Jeneral,2999,presumido,"maniéré, affecté"
"hamál, hammál (m)","Yama un hamal, ke te yeve la validja fin al vapor.",portador,"porter, carrier",hamal,Jeneral,3000,carregador,portefaix
haminádo (guevo) (adj.),"Un dezayuno grande, kon boyos, burekas, guevos haminados, fritadas i frutas.",(huevo) duro,hard-boiled (egg),katı (yumurta),Jeneral,3001,ovo bem passado,dur (oeuf)
hadrárse (v),"Para byen no puede, para mal se hadra. (Neh.)",forcejear,"jostle, flounder about","çabalama, debelenme",Salonik,3003,,se démener
"íra, bírra (f)",No eskrivas una karta en un momento de ira.,"cólera, furor","great anger, fury","öfke, hiddet",Jeneral,3007,"c&#7899;lera, f&#7913;ia","grande colère, fureur"
"bírra, íra (f)",Le suvyo la birra.,"cólera, furor","great anger, fury","öfke, hiddet",Jeneral,3008,"c&#7899;lera, f&#7913;ia","grande colère, fureur"
kolorá (f),Se inyervo muncho i se metyo en kolora.,cólera,"anger, fury","öfke, hiddet, kızgınlık",Jeneral,3009,"c&#7899;lera, f&#7913;ia","colère, courroux, emportement"
mehorám (m),Agora lo kastigare a este mehoram.,excomulgado; canalla,"excommunicated person; rascal, scoundrel","aforoz edilmiş; alçak adam, habis",Jeneral,3010,malandro,excommunié; canaille
por módre (lok. prep.),Está hazino por modre ke abuzó en el komer. (Neh.),"a causa de, debido a",because of,"dolayı, yüzünden, sebebiyle",Salonik,3011,,à cause de
muchiguár (v),Muchiguar rikezas es muchiguar ansyas. (Neh.),"incrementar, aumentar, multiplicar","increase, multiply, augment","çoğalmak, artmak",Jeneral,3012,aumentar,"accroître, augmenter, multiplier"
"anfitrión, anfitrióna (m/f)",La famiya del CIDICSEF es ekselente anfitriona.,"anfitrión, anfitrióna","amphitryon, host",misafirperver ev sahibi,Ladinokomunita,3013,,"amphitryon, hôte"
báva (f),Ya me kayo las bavas de ver este diksionario maraviyozo.,baba,spittle,salya,Jeneral,3014,,bave
yakishiklí / yakishiklíya (adj. m/f),Korto la esperansa ke le va vinir un mazal kon kavayo blanko i muy yakishikli.,guapo / guapa,handsome,yakışıklı,Jeneral,3015,,"beau, élégant"
kirá (f),Puede ofrirme de pagar parte de la kira de kaza.,alquiler,rent,kira,Jeneral,3016,,loyer
buráko (m),Avia un burako en la pared.,agujero,hole,delik,Jeneral,3017,buraco,trou
tínya (f),"Ringworm en Inglez es ""tinya"".",tiña,ringworm,uyuz,Jeneral,3018,,teigne
brusko / bruska (adj),La kamareta era tan bruska i yelada ke me espantava de entrar ayi sola. ,brusco; oscuro,brusque; dark,"sert, ters, acele; karanlık, loş",Jeneral,3019,brusco,brusque; sombre
aláy (m),Mos kedaron un alay de kozas a estudiar.,multitud,multitude,"çokluk, bir alay",Jeneral,3020,"muito, muita coisa",multitude
alfilár (v),,ensartar,"string (beads, etc.)","dizmek (boncuk, v.s.)",Jeneral,3021,enfiar,"enfiler (perles, etc.)"
alfilár (m),Rekoje un alfilar i lo apunta sovre su vistido.,alfiler,pin,toplu iğne,Jeneral,3022,alfinete,épingle
alfinéte,Teniya alfinetes espesiales kon kavesas de diferente kolores. ,alfiler,pin,toplu iğne,Jeneral,3023,,épingle
algodón (m),Mi madre aprontava kada tadre las mechas de algodon.,algodón,cotton,pamuk,Jeneral,3024,algodão,coton
alishtereár (v),Mozotros ya mos aviamos alishtereado a esto.,acostumbrar,accustom,alıştırmak,Jeneral,3025,acostumar,habituer
almáda (f),Enriva l'almada aviya un livro de tefila.,almohada,pillow,yastık,Jeneral,3028,almoada,oreiller
alkidé (m),Mavlacha era komo los bonbones de alkide shekeri.,azúcar cande,sugar candy,akide şekeri,Jeneral,3027,asucar candi,sucre candi
"almán, alemán (m)",Turistos kon pasaporto alman no nesesitan viza.,alemán,German,"alman, almanca",Jeneral,3029,alemão,allemand
almastigá (f),Almastiga es la rechina de un arvole.,almáciga,mastic,sakız,Jeneral,3030,almécega,mastic
